Question,Option1,Option2,Option3,Option4,Answer
Welcome to the Quiz Game!,Start,Exit, , ,1
select the language of your choice,english,hindi,spanish,french,1
1.What is 2*2+2-1 ?,3,4,5,6,3
2.What is the capital of India?,New Delhi,Mumbai,Chennai,Kolkata,1
3.What is Python?,A snake,A programming language,A car model,A fruit,2
5.What is 2 + 2?,3,4,5,6,2
6.What is the capital of France?,Berlin,Madrid,Paris,Rome,3
7.What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,3
8.What is the boiling point of water?,90°C,100°C,110°C,120°C,2
9.What is the chemical symbol for Gold?,Au,Ag,Fe,Cu,1
10.What year did the Titanic sink?,1910,1912,1914,1916,2
11.What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Silver,3
12.what is H2O?,Oxygen,Hydrogen,Water,Carbon Dioxide,3
13.What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Pepper,2
14.What is the smallest prime number?,0,1,2,3,3

